APHUS_MTRNT_PC_LGZ_DISTB_FCLTY_LCT_LKFM_NO|SIDO_NM|SIGNGU_NM|TNSHP_NM|EMD_NM|HONO_NM|HONO_LO|HONO_LA|MTRNT_CLSF|SMOEU|CNTRCT_DE|GTN|MNTH_RENTCG|FLR|BULD_YR|NGHB_LGZ_DISTB_FCLTY|NGHB_LGZ_DISTB_FCLTY_LO|NGHB_LGZ_DISTB_FCLTY_LA|NGHB_LGZ_DISTB_FCLTY_DSTNC|__source_file|LTNO_NM|LTNO_LO|LTNO_LA|BILDNG_YR|bonbun|bubun|bonbun4|bubun4|PNU
22487|서울특별시|강서구||화곡동||||전세|48.18|20240731|15750|0|3||홈플러스(주) 강서점|126.85492|37.55853|1.89133|유통시설2402_csv.csv|55-3|126.84937|37.5421|2002|||0000|0000|1150010300100000000
22488|서울특별시|강서구||화곡동||||전세|29.98|20240925|12580|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.03008|유통시설2402_csv.csv|55-38|126.84863|37.54097|2012|||0000|0000|1150010300100000000
22489|서울특별시|강서구||화곡동||||월세|24.99|20241102|9560|10|3||홈플러스(주) 강서점|126.85492|37.55853|1.915|유통시설2402_csv.csv|55-41|126.84869|37.54203|2011|||0000|0000|1150010300100000000
22490|서울특별시|강서구||화곡동||||월세|21.82|20240704|1000|65|4||홈플러스(주) 강서점|126.85492|37.55853|1.915|유통시설2402_csv.csv|55-41|126.84869|37.54203|2011|||0000|0000|1150010300100000000
22491|서울특별시|강서구||화곡동||||월세|34.56|20240702|2500|50|5||홈플러스(주) 강서점|126.85492|37.55853|1.915|유통시설2402_csv.csv|55-41|126.84869|37.54203|2011|||0000|0000|1150010300100000000
22492|서울특별시|강서구||화곡동||||월세|36.44|20240928|6460|13|-1||홈플러스(주) 강서점|126.85492|37.55853|1.97153|유통시설2402_csv.csv|55-60|126.84801|37.54167|1986|||0000|0000|1150010300100000000
22493|서울특별시|강서구||화곡동||||전세|43.2|20241123|11000|0|3||홈플러스(주) 강서점|126.85492|37.55853|2.1021|유통시설2402_csv.csv|56-102|126.85176|37.5398|2002|||0000|0000|1150010300100000000
22494|서울특별시|강서구||화곡동||||월세|43.2|20241021|3000|50|2||홈플러스(주) 강서점|126.85492|37.55853|2.1021|유통시설2402_csv.csv|56-102|126.85176|37.5398|2002|||0000|0000|1150010300100000000
22495|서울특별시|강서구||화곡동||||월세|43.2|20240911|9990|15|1||홈플러스(주) 강서점|126.85492|37.55853|2.1021|유통시설2402_csv.csv|56-102|126.85176|37.5398|2002|||0000|0000|1150010300100000000
22496|서울특별시|강서구||화곡동||||월세|44.24|20241021|12000|48|4||홈플러스(주) 강서점|126.85492|37.55853|2.13942|유통시설2402_csv.csv|56-106|126.85162|37.53947|2008|||0000|0000|1150010300100000000
22497|서울특별시|강서구||화곡동||||월세|50.41|20240906|12000|32|2||홈플러스(주) 강서점|126.85492|37.55853|2.13942|유통시설2402_csv.csv|56-106|126.85162|37.53947|2008|||0000|0000|1150010300100000000
22498|서울특별시|강서구||화곡동||||전세|49.96|20240814|16000|0|5||홈플러스(주) 강서점|126.85492|37.55853|2.13942|유통시설2402_csv.csv|56-106|126.85162|37.53947|2008|||0000|0000|1150010300100000000
22499|서울특별시|강서구||화곡동||||월세|48.19|20240720|12000|41|5||홈플러스(주) 강서점|126.85492|37.55853|2.13942|유통시설2402_csv.csv|56-106|126.85162|37.53947|2008|||0000|0000|1150010300100000000
22500|서울특별시|강서구||화곡동||||전세|75.24|20240927|27300|0|5||홈플러스(주) 강서점|126.85492|37.55853|1.89505|유통시설2402_csv.csv|56-11|126.85084|37.5418|2003|||0000|0000|1150010300100000000
22501|서울특별시|강서구||화곡동||||월세|47.19|20241230|300|40|2||홈플러스(주) 강서점|126.85492|37.55853|2.20895|유통시설2402_csv.csv|56-117|126.85022|37.53902|2003|||0000|0000|1150010300100000000
22502|서울특별시|강서구||화곡동||||월세|47.19|20240727|300|40|2||홈플러스(주) 강서점|126.85492|37.55853|2.20895|유통시설2402_csv.csv|56-117|126.85022|37.53902|2003|||0000|0000|1150010300100000000
22503|서울특별시|강서구||화곡동||||월세|30.12|20241219|10000|10|1||홈플러스(주) 강서점|126.85492|37.55853|2.14431|유통시설2402_csv.csv|56-137|126.84939|37.53975|2008|||0000|0000|1150010300100000000
22504|서울특별시|강서구||화곡동||||전세|40.55|20241118|13500|0|3||홈플러스(주) 강서점|126.85492|37.55853|2.14431|유통시설2402_csv.csv|56-137|126.84939|37.53975|2008|||0000|0000|1150010300100000000
22505|서울특별시|강서구||화곡동||||월세|30.09|20241109|7600|5|3||홈플러스(주) 강서점|126.85492|37.55853|2.21367|유통시설2402_csv.csv|56-146|126.84988|37.53903|1991|||0000|0000|1150010300100000000
22506|서울특별시|강서구||화곡동||||월세|26.27|20240814|1138|12|4||홈플러스(주) 강서점|126.85492|37.55853|1.97419|유통시설2402_csv.csv|56-15|126.84949|37.54131|2023|||0000|0000|1150010300100000000
22507|서울특별시|강서구||화곡동||||월세|29.63|20240813|504|15|2||홈플러스(주) 강서점|126.85492|37.55853|1.97419|유통시설2402_csv.csv|56-15|126.84949|37.54131|2023|||0000|0000|1150010300100000000
22508|서울특별시|강서구||화곡동||||전세|36.44|20241105|11300|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.10035|유통시설2402_csv.csv|56-171|126.84892|37.54025|1988|||0000|0000|1150010300100000000
22509|서울특별시|강서구||화곡동||||전세|53.72|20241101|14400|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.20804|유통시설2402_csv.csv|56-191|126.84902|37.53923|2003|||0000|0000|1150010300100000000
22510|서울특별시|강서구||화곡동||||월세|40.32|20240806|2000|50|3||홈플러스(주) 강서점|126.85492|37.55853|2.02776|유통시설2402_csv.csv|56-195|126.84948|37.54081|2008|||0000|0000|1150010300100000000
22511|서울특별시|강서구||화곡동||||전세|49.32|20241220|12000|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.00036|유통시설2402_csv.csv|56-209|126.84991|37.54099|1991|||0000|0000|1150010300100000000
22512|서울특별시|강서구||화곡동||||전세|55.39|20241210|15000|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.26863|유통시설2402_csv.csv|56-217|126.84868|37.53874|2008|||0000|0000|1150010300100000000
22513|서울특별시|강서구||화곡동||||전세|38.53|20240726|11470|0|4||홈플러스(주) 강서점|126.85492|37.55853|2.16373|유통시설2402_csv.csv|56-231|126.85032|37.53942|2003|||0000|0000|1150010300100000000
22514|서울특별시|강서구||화곡동||||월세|35.4|20240719|5000|35|1||홈플러스(주) 강서점|126.85492|37.55853|2.19604|유통시설2402_csv.csv|56-248|126.85043|37.53911|1990|||0000|0000|1150010300100000000
22515|서울특별시|강서구||화곡동||||전세|40.32|20240913|6860|0|-1||홈플러스(주) 강서점|126.85492|37.55853|1.88519|유통시설2402_csv.csv|56-250|126.8506|37.54193|1992|||0000|0000|1150010300100000000
22516|서울특별시|강서구||화곡동||||월세|37.44|20241028|12000|10|3||홈플러스(주) 강서점|126.85492|37.55853|2.03205|유통시설2402_csv.csv|56-264|126.85163|37.54045|2010|||0000|0000|1150010300100000000
22517|서울특별시|강서구||화곡동||||전세|37.28|20241206|8900|0|4||홈플러스(주) 강서점|126.85492|37.55853|1.94503|유통시설2402_csv.csv|56-273|126.85321|37.54109|1991|||0000|0000|1150010300100000000
22518|서울특별시|강서구||화곡동||||월세|52.93|20240926|5000|50|1||홈플러스(주) 강서점|126.85492|37.55853|1.97808|유통시설2402_csv.csv|56-278|126.85261|37.54084|2004|||0000|0000|1150010300100000000
22519|서울특별시|강서구||화곡동||||전세|42.23|20241206|11000|0|3||홈플러스(주) 강서점|126.85492|37.55853|1.96496|유통시설2402_csv.csv|56-287|126.85362|37.54089|2001|||0000|0000|1150010300100000000
22520|서울특별시|강서구||화곡동||||전세|57.38|20240714|18900|0|5||홈플러스(주) 강서점|126.85492|37.55853|1.93917|유통시설2402_csv.csv|56-29|126.85086|37.54139|2002|||0000|0000|1150010300100000000
22521|서울특별시|강서구||화곡동||||전세|57.38|20240711|18900|0|5||홈플러스(주) 강서점|126.85492|37.55853|1.93917|유통시설2402_csv.csv|56-29|126.85086|37.54139|2002|||0000|0000|1150010300100000000
22522|서울특별시|강서구||화곡동||||전세|57.38|20240711|21000|0|5||홈플러스(주) 강서점|126.85492|37.55853|1.93917|유통시설2402_csv.csv|56-29|126.85086|37.54139|2002|||0000|0000|1150010300100000000
