전용면적(㎡),대지권면적(㎡),계약일,거래금액(만원),층,거래유형,관내,PNU,매수자_M,매수자_개인,매수자_공공기관,매수자_기타,매수자_법인,매도자_M,매도자_개인,매도자_공공기관,매도자_기타,매도자_법인,등기일자,건축연령,계약기간,거래유형_중개거래,거래유형_직거래
37.19,21.85,2024-01-19,27000,3,중개거래,1,1150010300103930021,0,1,0,0,0,0,1,0,0,0,2024-05-03,7,,1,0
41.94,22.5,2024-01-19,9100,-2,중개거래,1,1150010300101540009,0,1,0,0,0,0,0,0,0,1,2024-01-31,29,,1,0
60.41,30.122,2024-01-18,20000,4,직거래,0,1150010300103980002,0,1,0,0,0,0,1,0,0,0,2024-03-04,22,,0,1
49.77,23.97,2024-01-18,17500,4,직거래,0,1150010300100460149,0,1,0,0,0,0,1,0,0,0,2024-01-18,22,,0,1
71.22,34.54,2024-01-18,30900,2,중개거래,1,1150010300110450059,0,1,0,0,0,0,1,0,0,0,,23,,1,0
46.82,26.1,2024-01-18,12200,1,중개거래,1,1150010300100560455,0,0,0,0,1,0,1,0,0,0,2024-03-29,27,,1,0
35.76,23.5745,2024-01-17,27000,4,중개거래,1,1150010300104000056,0,1,0,0,0,0,1,0,0,0,2024-01-22,7,,1,0
63.73,25.08,2024-01-17,36500,3,중개거래,1,1150010300103920061,0,1,0,0,0,0,1,0,0,0,2024-05-17,23,,1,0
45.86,22.713,2024-01-17,21700,6,직거래,0,1150010300109860017,0,1,0,0,0,0,1,0,0,0,2024-02-29,13,,0,1
36.65,23.82,2024-01-17,19500,2,중개거래,1,1150010300103670013,0,1,0,0,0,0,1,0,0,0,2024-04-11,12,,1,0
15.74,9.94,2024-01-17,26900,4,직거래,0,1150010300101020137,0,1,0,0,0,0,1,0,0,0,2024-02-16,3,,0,1
16.29,10.23,2024-01-17,26900,3,직거래,0,1150010300101020137,0,1,0,0,0,0,1,0,0,0,2024-02-16,3,,0,1
60.1,33.575,2024-01-17,16000,2,중개거래,0,1150010300100570001,0,1,0,0,0,0,1,0,0,0,2024-01-30,16,,1,0
33.81,23.36,2024-01-17,38500,6,직거래,0,1150010300109960019,0,1,0,0,0,0,1,0,0,0,2024-02-13,2,,0,1
36.6,23.37,2024-01-17,23500,6,중개거래,1,1150010300103700025,0,1,0,0,0,0,1,0,0,0,2024-01-31,7,,1,0
29.99,18.29,2024-01-17,36000,2,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-26,2,,0,1
29.95,18.27,2024-01-17,38500,3,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-26,2,,0,1
25.96,15.629,2024-01-17,25500,3,중개거래,1,1150010300110360001,0,1,0,0,0,0,1,0,0,0,2024-01-23,6,,1,0
43.05,20.69,2024-01-17,23000,2,중개거래,1,1150010300110370035,0,1,0,0,0,0,1,0,0,0,2024-01-23,22,,1,0
24.71,14.84,2024-01-16,19500,4,중개거래,1,1150010300103460093,0,1,0,0,0,0,1,0,0,0,2024-01-23,8,,1,0
29.4,15.79,2024-01-16,4700,-1,중개거래,1,1150010300109320010,0,1,0,0,0,0,1,0,0,0,2024-01-22,33,,1,0
61.17,27.65,2024-01-16,22000,1,중개거래,1,1150010300100560318,0,1,0,0,0,0,1,0,0,0,2024-02-15,24,,1,0
28.0,18.52,2024-01-16,22500,4,직거래,0,1150010300100740001,0,1,0,0,0,0,1,0,0,0,2024-01-16,5,,0,1
35.68,18.02,2024-01-15,12000,1,직거래,0,1150010300100550040,0,1,0,0,0,0,1,0,0,0,2024-01-17,23,,0,1
60.08,25.05,2024-01-15,20000,4,중개거래,1,1150010300101050015,0,1,0,0,0,0,1,0,0,0,2024-01-15,24,,1,0
46.08,22.27,2024-01-15,15300,3,중개거래,1,1150010300100560273,0,0,0,0,1,0,1,0,0,0,2024-02-19,33,,1,0
27.51,15.665,2024-01-15,19000,4,중개거래,1,1150010300100290022,0,1,0,0,0,0,1,0,0,0,2024-03-15,8,,1,0
29.32,20.551,2024-01-15,21000,4,중개거래,0,1150010300103390005,0,1,0,0,0,0,1,0,0,0,,9,,1,0
30.96,10.14,2024-01-15,22800,5,중개거래,1,1150010300103420083,0,1,0,0,0,0,1,0,0,0,2024-01-25,12,,1,0
52.29,27.07,2024-01-14,20000,4,직거래,0,1150010300103470011,0,1,0,0,0,0,1,0,0,0,2024-01-31,26,,0,1
37.62,17.7625,2024-01-14,14500,2,중개거래,1,1150010300108350011,0,1,0,0,0,0,1,0,0,0,2024-01-30,19,,1,0
50.32,31.988,2024-01-13,23000,4,직거래,0,1150010300101630028,0,1,0,0,0,0,1,0,0,0,2024-01-15,10,,0,1
56.845,34.99,2024-01-13,25500,1,중개거래,1,1150010300108320015,0,1,0,0,0,0,1,0,0,0,2024-04-18,23,,1,0
29.99,19.24,2024-01-13,18000,4,중개거래,1,1150010300103920056,0,1,0,0,0,0,1,0,0,0,2024-03-22,10,,1,0
52.945,28.703,2024-01-13,23300,2,중개거래,1,1150010300109660012,0,1,0,0,0,0,1,0,0,0,2024-02-02,15,,1,0
31.75,18.8129,2024-01-13,23500,5,중개거래,1,1150010300103540079,0,1,0,0,0,0,1,0,0,0,2024-04-15,9,,1,0
17.66,11.57,2024-01-12,10350,5,직거래,0,1150010300104090165,0,1,0,0,0,0,1,0,0,0,2024-01-25,6,,0,1
27.23,15.57,2024-01-12,6000,-1,중개거래,1,1150010300101020134,0,1,0,0,0,0,1,0,0,0,2024-01-29,33,,1,0
55.44,23.46,2024-01-12,20000,1,중개거래,1,1150010300100610155,0,1,0,0,0,0,1,0,0,0,2024-06-10,25,,1,0
29.78,19.2,2024-01-11,20000,4,중개거래,1,1150010300100980102,0,1,0,0,0,0,1,0,0,0,2024-06-07,12,,1,0
